"F_PEDIDO","SERIE_PEDV","PEDIDO","CLIENTE","NOMBRE_CLIENTE","LIN_PED","ARTICULO","DESCRIPCION_ARTICULO","CANTIDAD","PRECIO_VTA","IMPORTE_LIN"
16/01/26,"26",36,146,"IDOM Consulting,Engineering & Arch. SAU",1,"IDOM0029","SPLIT_BI_WG_AX_84GL6L FUS082950112C",1,1684,56,1684,56
16/01/26,"26",36,146,"IDOM Consulting,Engineering & Arch. SAU",2,"IDOM0030","SPLIT_BI_WG_AX_84GL6L FUS082950113C",1,1658,21,1658,21
16/01/26,"26",36,146,"IDOM Consulting,Engineering & Arch. SAU",3,"IDOM0031","INSUL_SPACER-2_84GL8K FUS082950114B",1,14449,39,14449,39
16/01/26,"26",36,146,"IDOM Consulting,Engineering & Arch. SAU",5,"IDOM0032","SBWG_INSUL-1 84GLAJ  FUS0829501B",1,206978,64,206978,64
16/01/26,"26",36,146,"IDOM Consulting,Engineering & Arch. SAU",10,"DC000005","DISCS",2,3000,6000
20/01/26,"26",27,49,"PIGUET FR�ES S.A.",1,"WA000040","PIGUET SI�E EB O 2918-01 B KATZ",200,21,85,4370
20/01/26,"26",29,312,"GE SCHMIDT INC",1,"WP000799","GESCHMIDT 20250052-TOP-C2W-00",10,69,65,696,5
20/01/26,"26",32,59,"KG FRIDMAN AB",1,"KG000067","SCIENTA BAR 2 1132 G",40,131,92,5276,8
20/01/26,"26",32,59,"KG FRIDMAN AB",3,"KG000046","SCIENTA BAR I  R4000   20482-c",50,97,58,4879
20/01/26,"26",32,59,"KG FRIDMAN AB",5,"IN000036","SCIENTA DEFLECTOR INS. 20519 rev B",100,19,93,1993
21/01/26,"26",28,127,"BENTELER AUTOMOTIVE VIGO, S.L.",1,"WP000378","BENTELER VIGO 8228ZVG10036 v02",30,38,07,1142,1
21/01/26,"26",30,4,"ONA ELECTROEROSI�S.A.",1,"EE000007","ANILLO DESEMBOCADURA",10,38,81,388,1
21/01/26,"26",30,4,"ONA ELECTROEROSI�S.A.",3,"EE000009","TUBO TROCEADOR",10,24,27,242,7
