order_reference,order_document_number,delivery_reference,delivery_document_number,invoice_reference,invoice_document_number,client_name,operational_status,document_status,confidence,matching_rule,notes
26_24,26_24,148,148,,,HIJOS DE JUAN GARAY,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_24,client_exact,delivery_files=1,delivery_multi_refs=3"
26_25,26_25,59,59,,,CIE NORMA,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_25,client_exact,delivery_files=1,delivery_multi_refs=2"
26_26,26_26,,,,,GPI SYSTEMS AB,confirmed,,,order_only,order_files=1 | ambiguous_delivery_candidates=2 | ambiguous_plan=delivery
26_27,26_27,132,132,26_27,EX 17,PIGUET FRÈRES,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_27,client_exact,delivery_files=1,delivery_multi_refs=3 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_28,26_28,83,83,,,BENTELER VIGO,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_28,client_exact,delivery_files=1,delivery_multi_refs=2"
26_29,26_29,,,,,GESCHMDIT,confirmed,,,order_only,order_files=1
26_3,26_3,114,114,,,CERN,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | ambiguous_invoice_candidates=4 | matched_ref=26_3,client_exact,delivery_files=1,delivery_multi_refs=3"
26_30,26_30,101,101,26_30,N 33,ONA ELECTROEROSIÓN,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_30,client_exact,delivery_files=1,delivery_multi_refs=5 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_31,26_31,101,101,26_31,N 33,ONA ELECTROEROSIÓN,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_31,client_exact,delivery_files=1,delivery_multi_refs=5 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_32,26_32,,,,,SCIENTA OMICRON,confirmed,,,order_only,order_files=1
26_33,26_33,30,30,26_33,N 9,IBERLABO,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_33,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=1,invoice_files=1,invoice_status=accepted"
26_34,26_34,,,,,HIPERBARIC,confirmed,,,order_only,order_files=1
26_35,26_35,,,,,von KARMAN INST. FOR FLUID DYNAMICS,confirmed,,,order_only,order_files=1
26_36,26_36,,,,,IDOM CONSULTING,confirmed,,,order_only,order_files=1
26_37,26_37,90,90,,,BOSCO TECNOINDUSTRIA,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | ambiguous_invoice_candidates=4 | matched_ref=26_37,client_exact,delivery_files=1,delivery_multi_refs=2"
26_38,26_38,,,,,T.M.NORMA,confirmed,,,order_only,order_files=1
26_39,26_39,71,71,,,GESTAMP NAVARRA,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_39,client_exact,delivery_files=1,delivery_multi_refs=2"
26_4,26_4,,,,,VARAS HARD METAL,confirmed,,,order_only,order_files=1
26_40,26_40,,,,,CUSHWAY SCHMIDT Ltd,confirmed,,,order_only,order_files=1
26_41,26_41,124,124,,,AUBERT & DUVAL,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | ambiguous_invoice_candidates=3 | matched_ref=26_41,client_exact,delivery_files=1,delivery_multi_refs=3"
26_42,26_42,,,,,AQUAJET SYSTEMS,confirmed,,,order_only,order_files=1
26_43,26_43,101,101,26_43,N 33,ONA ELECTROEROSIÓN,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_43,client_exact,delivery_files=1,delivery_multi_refs=5 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_44,26_44,131,131,,,GPI SYSTEMS AB,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_44,client_exact,delivery_files=1,delivery_multi_refs=3"
26_45,26_45,36,36,26_45,IC 12,GESTAMP SOFEDIT SERMAISES,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_45,client_exact,delivery_files=1,delivery_multi_refs=2 | client_exact,invoice_gap_days=0,invoice_files=1,invoice_status=accepted"
26_46,26_46,39,39,,,UNIV. DE AVEIRO,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_46,client_exact,delivery_files=1,delivery_multi_refs=2"
26_47,26_47,105,105,26_47,N 35,HIPERBARIC,invoiced,accepted,high,order_ref_normalized+client_exact | delivery_client_date_window_exact,"order_files=1 | matched_ref=26_47,client_exact,delivery_files=1,delivery_multi_refs=3 | client_exact,invoice_gap_days=-1,invoice_files=1,invoice_status=accepted"
26_48,26_48,40,40,,,MAGNA SEATING VIGO,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | ambiguous_invoice_candidates=2 | matched_ref=26_48,client_exact,delivery_files=1,delivery_multi_refs=2"
26_49,26_49,,,,,STA ISABEL,confirmed,,,order_only,order_files=1
26_5,26_5,22,22,,,GESTAMP NAVARRA,delivered,,high,order_ref_normalized+client_exact,"order_files=1 | matched_ref=26_5,client_exact,delivery_files=1,delivery_multi_refs=2"
